"Sample Date","Location History ID","Bloom Status"
"2021-10-06","0704CAN0286_3642","confirmed"
"2020-09-14","0704CAN0286_3643","confirmed"
"2023-09-23","0704CAN0286_3643","confirmed"
"2024-09-30","0704CAN0286_3643","confirmed"
"2023-09-20","0704CAN0286_3644","confirmed"
"2020-08-12","0704CAN0286_3645","confirmed"
"2021-10-05","0704CAN0286_3646","confirmed"
"2023-09-06","0704CAN0286_3646","confirmed"
"2024-08-29","0704CAN0286_3646","confirmed"
"2024-09-03","0704CAN0286_3646","confirmed"
"2024-09-10","0704CAN0286_3646","confirmed"
"2024-09-13","0704CAN0286_3646","confirmed"
"2024-09-14","0704CAN0286_3646","confirmed"
"2024-09-16","0704CAN0286_3646","confirmed"
"2024-09-20","0704CAN0286_3646","confirmed"
"2025-07-28","0704CAN0286_3646","confirmed"
"2020-09-08","0704CAN0286_3647","confirmed"
"2021-08-15","0704CAN0286_3648","confirmed"
"2021-08-20","0704CAN0286_3648","confirmed"
"2023-09-06","0704CAN0286_3648","confirmed"
"2023-09-21","0704CAN0286_3648","confirmed"
"2024-08-24","0704CAN0286_3648","confirmed"
"2024-08-26","0704CAN0286_3648","confirmed"
"2024-09-03","0704CAN0286_3648","confirmed"
"2024-09-10","0704CAN0286_3648","confirmed"
"2024-09-11","0704CAN0286_3648","confirmed"
"2024-09-12","0704CAN0286_3648","confirmed"
"2024-09-13","0704CAN0286_3648","confirmed"
"2024-09-15","0704CAN0286_3648","confirmed"
"2024-09-20","0704CAN0286_3648","confirmed"
"2021-10-06","0704CAN0286_3649","confirmed"
"2021-08-25","0704CAN0286_3608","confirmed"
"2024-08-15","0704CAN0286_3609","confirmed"
"2024-08-23","0704CAN0286_3609","confirmed"
"2024-09-04","0704CAN0286_3609","confirmed"
"2024-09-10","0704CAN0286_3609","confirmed"
"2024-09-16","0704CAN0286_3609","confirmed"
"2024-10-04","0704CAN0286_3609","confirmed"
"2025-09-09","0704CAN0286_3609","confirmed"
"2025-09-14","0704CAN0286_3609","confirmed"
"2025-09-23","0704CAN0286_3636","confirmed"
"2025-10-04","0704CAN0286_3636","confirmed"
"2021-10-07","0704CAN0286_3637","confirmed"
"2020-08-15","0704CAN0286_3638","confirmed"
"2020-09-22","0704CAN0286_3611","confirmed"
"2018-09-12","0704CAN0286_3613","confirmed_with_high_toxins"
"2021-08-20","0704CAN0286_3670","confirmed"
"2023-09-21","0704CAN0286_3670","confirmed"
"2023-10-02","0704CAN0286_3670","confirmed"
"2023-10-03","0704CAN0286_3670","confirmed"
"2024-08-26","0704CAN0286_3670","confirmed"
"2024-09-03","0704CAN0286_3670","confirmed"
"2024-09-14","0704CAN0286_3670","confirmed"
"2025-10-04","0704CAN0286_3670","confirmed"
"2024-09-14","0704CAN0286_3671","confirmed"
"2024-09-21","0704CAN0286_3671","confirmed"
"2024-09-12","0704CAN0286_3674","confirmed"
"2025-09-26","0704CAN0286_3674","confirmed"
"2024-08-25","0704CAN0286_3675","confirmed"
"2025-10-05","0704CAN0286_3676","confirmed"
"2024-10-22","0704CAN0286_3678","confirmed"
"2024-08-30","0704CAN0286_3679","confirmed"
"2025-09-27","0704CAN0286_3679","confirmed"
"2024-07-30","0704CAN0286_3681","confirmed"
"2024-08-30","0704CAN0286_3681","confirmed"
"2024-09-04","0704CAN0286_3681","confirmed"
"2024-09-11","0704CAN0286_3681","confirmed"
"2024-09-13","0704CAN0286_3681","confirmed"
"2024-09-18","0704CAN0286_3681","confirmed"
"2024-07-26","0704CAN0286_3682","confirmed"
"2024-08-14","0704CAN0286_3682","confirmed"
"2024-08-24","0704CAN0286_3682","confirmed"
"2024-09-12","0704CAN0286_3683","confirmed"
"2024-09-19","0704CAN0286_3683","confirmed"
"2025-09-23","0704CAN0286_3684","confirmed"
"2025-08-31","0704CAN0286_3685","confirmed"
"2015-09-08","0704CAN0286_C","confirmed_with_high_toxins"
"2015-09-24","0704CAN0286_C","confirmed_with_high_toxins"
"2016-09-07","0704CAN0286_C","confirmed"
"2017-09-18","0704CAN0286_C","confirmed_with_high_toxins"
"2017-09-25","0704CAN0286_C","confirmed_with_high_toxins"
"2018-09-04","0704CAN0286_C","confirmed_with_high_toxins"
"2018-09-11","0704CAN0286_C","confirmed_with_high_toxins"
"2020-07-20","0704CAN0286_C","confirmed"
"2020-07-23","0704CAN0286_C","confirmed"
"2020-08-07","0704CAN0286_C","confirmed"
"2020-08-17","0704CAN0286_C","confirmed"
"2020-09-08","0704CAN0286_C","confirmed"
"2021-07-01","0704CAN0286_C","confirmed"
"2021-08-20","0704CAN0286_C","confirmed"
"2021-08-28","0704CAN0286_C","confirmed"
"2021-09-13","0704CAN0286_C","confirmed"
"2021-09-19","0704CAN0286_C","confirmed"
"2022-08-19","0704CAN0286_C","confirmed"
"2023-08-21","0704CAN0286_C","confirmed"
"2023-09-30","0704CAN0286_C","confirmed"
"2023-10-02","0704CAN0286_C","confirmed"
"2023-10-03","0704CAN0286_C","confirmed"
"2024-07-23","0704CAN0286_C","confirmed"
"2024-07-27","0704CAN0286_C","confirmed"
"2024-07-30","0704CAN0286_C","confirmed"
"2024-08-02","0704CAN0286_C","confirmed"
"2024-08-24","0704CAN0286_C","confirmed"
"2024-08-26","0704CAN0286_C","confirmed"
"2024-08-27","0704CAN0286_C","confirmed"
"2024-08-29","0704CAN0286_C","confirmed"
"2024-09-03","0704CAN0286_C","confirmed"
"2024-09-11","0704CAN0286_C","confirmed"
"2024-09-14","0704CAN0286_C","confirmed"
"2024-09-15","0704CAN0286_C","confirmed"
"2024-10-22","0704CAN0286_C","confirmed"
"2024-10-31","0704CAN0286_C","confirmed"
"2022-09-09","0704CAN0286_3649","confirmed"
"2023-10-02","0704CAN0286_3649","confirmed"
"2024-07-22","0704CAN0286_3649","confirmed"
"2024-07-29","0704CAN0286_3649","confirmed"
"2024-07-30","0704CAN0286_3649","confirmed"
"2024-08-24","0704CAN0286_3649","confirmed"
"2024-08-25","0704CAN0286_3649","confirmed"
"2024-08-29","0704CAN0286_3649","confirmed"
"2024-09-01","0704CAN0286_3649","confirmed"
"2024-09-04","0704CAN0286_3649","confirmed"
"2024-09-13","0704CAN0286_3649","confirmed"
"2024-09-14","0704CAN0286_3649","confirmed"
"2024-09-15","0704CAN0286_3649","confirmed"
"2024-09-16","0704CAN0286_3649","confirmed"
"2024-09-27","0704CAN0286_3649","confirmed"
"2025-07-28","0704CAN0286_3649","confirmed"
"2025-09-17","0704CAN0286_3649","confirmed"
"2025-09-24","0704CAN0286_3649","confirmed"
"2025-10-02","0704CAN0286_3649","confirmed"
"2024-09-11","0704CAN0286_3650","confirmed"
"2024-09-15","0704CAN0286_3650","confirmed"
"2024-11-03","0704CAN0286_3650","confirmed"
"2025-09-16","0704CAN0286_3650","confirmed"
"2025-09-23","0704CAN0286_3650","confirmed"
"2025-10-02","0704CAN0286_3650","confirmed"
"2024-08-24","0704CAN0286_3651","confirmed"
"2024-08-25","0704CAN0286_3651","confirmed"
"2024-08-26","0704CAN0286_3651","confirmed"
"2024-09-04","0704CAN0286_3651","confirmed"
"2024-09-13","0704CAN0286_3651","confirmed"
"2024-09-16","0704CAN0286_3651","confirmed"
"2023-10-02","0704CAN0286_3652","confirmed"
"2024-08-25","0704CAN0286_3652","confirmed"
